"","beta.div.contrib","marine.association"
"Oxyeleotris fimbriata",0.00358309084889693,0
"Oxyeleotris lineolata",0.00950245562497848,0
"Oxyeleotris nullipora",0.0147572238200187,0
"Oxyeleotris selheimi",0.0120761405173763,0
"Parambassis gulliveri",0.00846702913072801,0
"Pingalla gilberti",0.00488439116978048,0
"Pingalla lorentzi",0.00351711300014885,0
"Pingalla midgleyi",0.00244114708887362,0
"Porochilus argenteus",0.00203939222397417,0
"Porochilus obbesi",0.00986346872884623,0
"Porochilus rendahli",0.00513881032576119,0
"Prionobutis microps",0.00906363453065383,1
"Pseudomugil cyanodorsalis",0.00264265688597369,1
"Pseudomugil gertrudae",0.0147532512502419,1
"Pseudomugil inconspicuous",0.00173386578623203,1
"Pseudomugil signifer",0.0110052877252195,1
"Pseudomugil tenellus",0.0127786598355154,0
"Redigobius bikolanus",0.0119110669916355,2
"Retropinna semoni",0,1
"Scatophagus argus ",0.0138108478597725,2
"Scaturiginichthys vermeilipinnis",0,0
"Schismatogobius hoesei",0.00545542825592227,0
"Scleropages jardinii",0.0155453861157901,0
"Scortum barcoo",0,0
"Scortum neili",0.00103731133848091,0
"Scortum ogilbyi",0.0151416023619247,0
"Scortum parviceps",0,0
"Selenotoca multifasciata ",0.0100018865692479,2
"Sicyopterus lagocephalus",0.00186187652016202,2
"Stiphodon allen",0.00178422888135393,0
"Strongylura krefftii",0.00485542879022571,1
"Syncomistes butleri",0.00885072195466456,0
"Tandanus tropicanus",0.00719040092278598,0
"Thryssa scratchleyi",0.00823982086638767,2
"Toxotes chatareus",0.00101190869642938,1
"Toxotes lorentzi",0.00732941095376391,0
"Variichthys lacustris",0.00186098876285821,0
